Id,Name,Type,RA,DE,GLON,GLAT,Opt,r_Opt,Vmag,B-V,U-B,E(B-V),r_Vmag,Fx,Range,r_Fx,Porb,Porb2,Ppulse,r_Ppulse,Cat,SpType,class
132,EXO 1846-031,TU,282.32125,-3.062222222222222,29.9,-0.9,,1002,,,,,,300.0,,1002,,,,,Exo,,lmxb
133,4U 1850-087,GB,283.2704166666667,-8.705555555555556,25.4,-4.3,NGC 6712,"21,263,447",21.0,0.2,-0.9,0.42,"263,956",7.0,,"999,1366,1399",0.343,,,580,"U,A,H,S,B",,lmxb
134,XTE J1856+053,T,284.1625,5.33,38.27,1.26,,,,,,,,70.0,,824,,,,,"X,C",,lmxb
135,XTE J1859+226,T,284.67325,22.658166666666666,54.05,8.59,,412,15.31,0.34,-0.65,0.58,"176,596,961,1394",600.0,,281,,,,,"X,C,B",,lmxb
136,4U 1905+000,B,287.1125,0.16888888888888887,35.0,3.7,star,"194,447",20.5,0.5,-0.5,0.5,194,10.0,,"188,1399",,,,,"U,A,H,S",,lmxb
137,4U 1908+005,TBA,287.81666666666666,0.5850000000000001,35.7,-4.1,V1333 Aql,"447,1283",14.8,0.6,-0.4,0.4,"169,191,1283",0.1,,"103,1350",19.0,,,190,"U,M,A,S,X,C,G",,lmxb
138,1AX 1915+105,TB,288.8208333333334,10.968333333333334,45.3,-0.9,,87,,,,9.6,87,300.0,,243,,,,,"Gr,B,X,C,I,AS",,lmxb
139,4U 1916-053,BD,289.7,-5.235833333333334,31.4,-8.5,V1405 Aql,"447,1126,1397",21.0,0.4,-0.5,0.7,"476,1126",25.0,,"1179,1399",0.83,,,"476,1126,1412","U,M,A,H,S,R,AS,B,X,C",,lmxb
140,4U 1918+146,T,290.0708333333333,14.694166666666668,49.3,0.4,,,,,,,,5.0,,230,,,,,"U,A",,lmxb
141,XB 1940-04,B,295.6583333333333,-3.9,35.3,-13.1,,,,,,,,50.0,,937,,,,,Ha,,lmxb
142,4U 1957+115,U,299.85,11.708333333333332,51.3,-9.3,V1408 Aql,"327,447",18.7,0.3,-0.6,0.4,809,30.0,,1399,9.33,,,1281,"U,M,A,H,S,X,G,Exo,AS",,lmxb
143,GS 2000+251,TU,300.7066666666667,25.236666666666668,63.4,-3.1,QZ Vul,"120,447",18.9,1.3,0.0,1.5,"90,1301",0.5,,"896,1139",8.26,,,"120,173,189,191","G,R",,lmxb
144,XTE J2012+381,TU,303.15749999999997,38.183638888888886,75.4,2.22,*B,597,21.33,,,1.9,597,160.0,,1422,,,,,"X,AS",,lmxb
145,GS 2023+338,TU,306.0158333333333,33.867777777777775,73.2,-2.2,V404 Cyg,"331,1389",12.7,1.5,0.3,1.0,"118,172,1390",0.4,,"896,1139,1234",155.4,,,148,"G,X,K",,lmxb
146,XTE J2123-058,TBA,320.81058333333334,-5.798027777777778,58.1,-29.9,,1293,16.8,-0.02,-0.88,0.1,1290,110.0,,740,5.96,,,"595,600,1293",X,,lmxb
147,4U 2127+119,GB,322.4929166666667,12.167499999999999,65.0,-27.3,M15,22,15.8,-0.1,-1.2,0.06,"23,83,953",6.0,,"1366,1399",17.1,,,"521,604,605,951","U,M,A,H,X",,lmxb
148,1M 2129+470,B,322.8591666666666,47.29,91.6,-3.0,V1727 Cyg,"447,1284",16.4,0.65,-0.3,0.5,"864,1284",9.0,,1399,5.24,,,"864,865","U,M,A,H,R",,lmxb
149,1M 2142+380,ZB,326.1716666666667,38.32166666666667,87.3,-11.3,V1341 Cyg,"418,447",14.7,0.5,-0.2,0.45,"199,783,866",450.0,,1399,236.2,,,249,"U,M,A,H,X,B,G",,lmxb
150,1A 2318+620,,350.1420833333333,62.2925,112.6,1.3,,,,,,0.3,1273,2.4,,384,,,,,"U,A",,lmxb
151,RX J0032.9-7348,,8.233749999999999,-73.80527777777777,304.7,-43.2,*1,657,15.3,,,,354,0.2,,354,,,,,R,Be,hmxb
152,AX J0049-732,P,12.373333333333333,-73.18222222222222,303.1,-43.9,,,,,,,,0.04,,327,,,9.1321,327,As,,hmxb
153,AX J0049-729,TP,12.260416666666666,-72.84777777777778,303.2,-44.3,Be star,657,,,,,,0.5,,354,,,74.676,"132,790","AS, R, X",Be,hmxb
154,H 0050-727,T,13.025416666666667,-72.435,302.9,-44.7,*4,95,14.0,-0.3,-1.0,0.03,"7, 146",1.0,,95,,,,,"A,H,S,X",O9 III-Ve,hmxb
155,RX J0050.7-7316,P,12.68625,-73.26805555555555,303.0,-43.8,Be star,141,15.44,-0.03,-0.95,,"104,141",0.16,(0.7-10 keV),788,1.416,,323.0,"104,788","R,AS",Be,hmxb
156,1SAX J0051-722,TP,12.7325,-72.23194444444445,303.0,-44.9,Be star,657,14.9,,,,657,2.6,,424,120.0,,91.1,"334,461","X,R,B",Be,hmxb
157,1SAX J0051.8-7231,TP,12.970833333333333,-72.52916666666667,302.9,-44.6,*2,657,,,,,,0.01,,354,,,8.9,330,"E, X,R ,B",Be,hmxb
158,RX J0051.9-7311,T,12.964166666666666,-73.17722222222223,302.9,-43.9,B[e  star,141,14.4,,,,141,,,,,,,,R,B[e,hmxb
159,RX J0052.1-7319,TP,13.057916666666667,-73.32027777777778,302.8,-43.8,SMC SC6 99923,702,14.667,-0.005,,,"702,332",0.024,,399,,,15.3,399,"E,X,R",Be,hmxb
160,RX J0052.9-7158,TU,13.225000000000001,-71.96888888888888,302.8,-45.1,Be star,141,15.46,-0.07,-0.99,,141,2.0,(0.15-2.4 keV),141,,,,,R,Be,hmxb
161,1SAS-3 0053-739,T,13.639166666666668,-73.68444444444445,302.6,-43.4,*5,95,16.0,-0.3,-0.5,0.03,506,1.0,,95,,,,,"A,S",B1.5Ve,hmxb
162,3A 0053+604,,14.176250000000001,60.71666666666667,123.6,-2.1,{gamma} Cas,177,1.6,-0.15,-1.08,0.05,489,5.0,,63,,,,,"U,A,H,S,AS,B",B0.5Ve,hmxb
